,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1976.0,6.0,24.0,0.0,56.0
1,1974.0,4.0,26.0,1.0,60.0
2,1972.0,0.0,28.0,2.0,60.0
3,1972.0,0.0,28.0,3.0,60.0
4,1972.0,0.0,28.0,4.0,60.0
5,1972.0,0.0,28.0,5.0,60.0
6,1972.0,0.0,28.0,6.0,60.0
7,1972.0,0.0,28.0,7.0,60.0
8,1972.0,0.0,28.0,8.0,60.0
9,1972.0,0.0,28.0,9.0,60.0
10,1972.0,0.0,28.0,10.0,60.0
11,1972.0,0.0,28.0,11.0,60.0
12,1972.0,0.0,28.0,12.0,60.0
13,1972.0,0.0,28.0,13.0,60.0
14,1972.0,0.0,28.0,14.0,60.0
15,1972.0,0.0,28.0,15.0,60.0
16,1972.0,0.0,28.0,16.0,60.0
17,1972.0,0.0,28.0,17.0,60.0
18,1972.0,0.0,28.0,18.0,60.0
19,1972.0,0.0,28.0,19.0,60.0
20,1972.0,0.0,28.0,20.0,60.0
